H,L,T,A[0],A[1]
121,2,10000,0.8205460906028748,2.749128580093384
122,2,10000,0.10429506748914719,2.556203842163086
123,2,10000,0.09460797905921936,2.6229233741760254
124,2,10000,0.11745958775281906,2.5790977478027344
125,2,10000,0.12630806863307953,2.54435658454895
126,2,10000,0.1576135754585266,2.453319549560547
127,2,10000,0.8191660642623901,2.767139196395874
128,2,10000,0.09436143934726715,2.5325276851654053
129,2,10000,0.21857796609401703,2.5032784938812256
130,2,10000,0.09673967957496643,2.622314453125
131,2,10000,0.20151083171367645,2.2270193099975586
132,2,10000,0.8186565041542053,2.744124174118042
133,2,10000,0.8200696110725403,2.7625067234039307
134,2,10000,0.10547028481960297,2.493830919265747
135,2,10000,0.08120173215866089,2.9325666427612305
136,2,10000,0.8196578025817871,2.7475075721740723
137,2,10000,0.8187366724014282,2.7487800121307373
138,2,10000,0.2455562800168991,2.548999309539795
139,2,10000,0.13940729200839996,2.7380621433258057
140,2,10000,0.8198516368865967,2.7562673091888428
141,2,10000,0.09731874614953995,2.534407377243042
142,2,10000,0.06519903987646103,2.696758270263672
143,2,10000,0.09686126559972763,2.535759449005127
144,2,10000,0.10329706221818924,2.573931932449341
145,2,10000,0.09563656896352768,2.432482957839966
146,2,10000,0.1477670967578888,2.507584571838379
147,2,10000,0.8190730810165405,2.7478787899017334
148,2,10000,0.10674692690372467,2.33894681930542
149,2,10000,0.1345887929201126,2.322086811065674
150,2,10000,0.09007442742586136,2.5187060832977295
151,2,10000,0.8185570240020752,2.7493886947631836
152,2,10000,0.8183229565620422,2.7475621700286865
153,2,10000,0.10876725614070892,2.411604404449463
154,2,10000,0.10404272377490997,2.6439664363861084
155,2,10000,0.18889567255973816,2.438291072845459
156,2,10000,0.09892479330301285,2.510004997253418
157,2,10000,0.09870263189077377,2.549834728240967
158,2,10000,0.13067235052585602,2.569880962371826
159,2,10000,0.11661819368600845,2.45623517036438
160,2,10000,0.10669490694999695,2.485393762588501
161,2,10000,0.08822406828403473,2.534318208694458
162,2,10000,0.09587141126394272,2.56392240524292
163,2,10000,0.10116580128669739,2.579399347305298
164,2,10000,0.09149619936943054,2.576648473739624
165,2,10000,0.819362461566925,2.759873151779175
166,2,10000,0.15956462919712067,2.458991765975952
167,2,10000,0.08937279880046844,2.6077070236206055
168,2,10000,0.08973261713981628,2.563725233078003
169,2,10000,0.10276032239198685,2.489072561264038
170,2,10000,0.09296240657567978,2.452254056930542
